"zone_id","document_id","evidence_role","join_status"
"border_a_dot",NA,"unverified_or_non_establishment","no_row_level_document"
"border_an_giang",NA,"unverified_or_non_establishment","no_row_level_document"
"border_bac_phong_sinh",NA,"unverified_or_non_establishment","no_row_level_document"
"border_bo_y",NA,"unverified_or_non_establishment","no_row_level_document"
"border_cao_bang",NA,"unverified_or_non_establishment","no_row_level_document"
"border_cau_treo",NA,"unverified_or_non_establishment","no_row_level_document"
"border_cha_lo","137/2002/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"border_dong_dang_lang_son",NA,"unverified_or_non_establishment","no_row_level_document"
"border_dong_thap",NA,"unverified_or_non_establishment","no_row_level_document"
"border_ha_tien",NA,"unverified_or_non_establishment","no_row_level_document"
"border_hoa_lu",NA,"unverified_or_non_establishment","no_row_level_document"
"border_hoanh_mo_dong_van",NA,"unverified_or_non_establishment","no_row_level_document"
"border_lao_bao",NA,"unverified_or_non_establishment","no_row_level_document"
"border_lao_cai",NA,"unverified_or_non_establishment","no_row_level_document"
"border_le_thanh",NA,"unverified_or_non_establishment","no_row_level_document"
"border_long_an",NA,"unverified_or_non_establishment","no_row_level_document"
"border_ma_lu_thang",NA,"unverified_or_non_establishment","no_row_level_document"
"border_moc_bai",NA,"unverified_or_non_establishment","no_row_level_document"
"border_mong_cai","19/2012/QD-TTg","verified_establishment","document_id_recorded"
"border_na_meo",NA,"unverified_or_non_establishment","no_row_level_document"
"border_nam_can_nghe_an",NA,"unverified_or_non_establishment","no_row_level_document"
"border_nam_giang",NA,"unverified_or_non_establishment","no_row_level_document"
"border_son_la",NA,"unverified_or_non_establishment","no_row_level_document"
"border_tay_trang",NA,"unverified_or_non_establishment","no_row_level_document"
"border_thanh_thuy",NA,"unverified_or_non_establishment","no_row_level_document"
"border_xa_mat",NA,"unverified_or_non_establishment","no_row_level_document"
"coastal_chan_may_lang_co","04/2006/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_chu_lai","108/2003/QD-TTg","verified_establishment","document_id_recorded"
"coastal_dinh_an","69/2009/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_dinh_vu_cat_hai","06/2008/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_dong_nam_nghe_an","85/2007/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_dong_nam_quang_tri","42/2015/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_dung_quat","25/2010/QD-TTg","verified_current_operating_regulation","document_id_recorded"
"coastal_hon_la","79/2008/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_nam_can","66/2010/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_nam_phu_yen","54/2008/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_nghi_son","102/2006/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_nhon_hoi","141/2005/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_ninh_co",NA,"unverified_or_non_establishment","no_row_level_document"
"coastal_phu_quoc","31/2013/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_quang_yen","29/2020/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_south_hai_phong",NA,"unverified_or_non_establishment","no_row_level_document"
"coastal_thai_binh","36/2017/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_van_don","120/2007/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_van_phong","92/2006/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"coastal_vung_ang","72/2006/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"epz_linh_trung_1","1711/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"epz_linh_trung_2","1711/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"epz_tan_thuan","194/2003/QD-BTC","unverified_or_non_establishment","document_id_recorded"
"htp_da_nang","1979/QD-TTg","verified_establishment","document_id_recorded"
"htp_ho_chi_minh","145/2002/QD-TTg","unverified_or_non_establishment","document_id_recorded"
"htp_hoa_lac","198/QD-TTg","verified_establishment","document_id_recorded"
