"document_id","document_url","url_status","evidence_role","document_date","effective_date_verified","verified_effective_date"
"04/2006/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"06/2008/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"102/2006/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"108/2003/QD-TTg","https://vanban.chinhphu.vn/default.aspx?docid=11933&pageid=27160","verified_direct","establishment",2003-06-05,FALSE,NA
"120/2007/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"137/2002/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"141/2005/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"145/2002/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"1711/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"19/2012/QD-TTg","https://vanban.chinhphu.vn/default.aspx?docid=157416&pageid=27160","verified_direct","establishment",2012-04-10,TRUE,2012-06-01
"194/2003/QD-BTC",NA,"not_verified","unverified",NA,NA,NA
"1979/QD-TTg","https://vanban.chinhphu.vn/default.aspx?docid=97516&pageid=27160","verified_direct","establishment",2010-10-28,TRUE,2010-10-28
"198/QD-TTg","https://vanban.chinhphu.vn/default.aspx?docid=5711&pageid=27160","verified_direct","establishment",1998-10-12,FALSE,NA
"25/2010/QD-TTg","https://vanban.chinhphu.vn/default.aspx?docid=93583&pageid=27160","verified_direct","current_operating_regulation",2010-03-03,TRUE,2010-05-01
"29/2020/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"31/2013/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"36/2017/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"42/2015/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"54/2008/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"66/2010/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"69/2009/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"72/2006/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"79/2008/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"85/2007/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
"92/2006/QD-TTg",NA,"not_verified","unverified",NA,NA,NA
