"id","zone_type","legal_document","legal_province","geometry_available","location_accuracy","source_url","decision","location_result","mismatch"
"border_a_dot","border_gate_economic_zone",NA,"Thua Thien Hue",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_an_giang","border_gate_economic_zone",NA,"An Giang",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_bac_phong_sinh","border_gate_economic_zone",NA,"Quang Ninh",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_bo_y","border_gate_economic_zone",NA,"Kon Tum",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_cao_bang","border_gate_economic_zone",NA,"Cao Bang",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_cau_treo","border_gate_economic_zone",NA,"Ha Tinh",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_cha_lo","border_gate_economic_zone","137/2002/QD-TTg","Quang Binh",FALSE,"province_only","https://vanban.chinhphu.vn/giai-doan-1986-2003-muoi-tam-nam-su-nghiep-doi-moi/iv-chinh-phu-nhiem-ky-quoc-hoi-khoa-xi-2002-2007-2960","included","unlocated_zone_boundary_province_fallback","none"
"border_dong_dang_lang_son","border_gate_economic_zone",NA,"Lang Son",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_dong_thap","border_gate_economic_zone",NA,"Dong Thap",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_ha_tien","border_gate_economic_zone",NA,"Kien Giang",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_hoa_lu","border_gate_economic_zone",NA,"Binh Phuoc",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_hoanh_mo_dong_van","border_gate_economic_zone",NA,"Quang Ninh",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_lao_bao","border_gate_economic_zone",NA,"Quang Tri",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_lao_cai","border_gate_economic_zone",NA,"Lao Cai",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_le_thanh","border_gate_economic_zone",NA,"Gia Lai",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_long_an","border_gate_economic_zone",NA,"Long An",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_ma_lu_thang","border_gate_economic_zone",NA,"Lai Chau",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_moc_bai","border_gate_economic_zone",NA,"Tay Ninh",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_mong_cai","border_gate_economic_zone","19/2012/QD-TTg","Quang Ninh",FALSE,"province_only","https://vanban.chinhphu.vn/default.aspx?docid=157416&pageid=27160","included","unlocated_zone_boundary_province_fallback","none"
"border_na_meo","border_gate_economic_zone",NA,"Thanh Hoa",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_nam_can_nghe_an","border_gate_economic_zone",NA,"Nghe An",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_nam_giang","border_gate_economic_zone",NA,"Quang Nam",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_son_la","border_gate_economic_zone",NA,"Son La",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_tay_trang","border_gate_economic_zone",NA,"Dien Bien",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"border_thanh_thuy","border_gate_economic_zone",NA,"Ha Giang",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
