"metric","value","unit","as_of","scope","source_name","source_url"
"established_industrial_parks",478,"parks","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
"established_outside_economic_zones",421,"parks","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
"established_in_coastal_economic_zones",49,"parks","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
"established_in_border_gate_economic_zones",8,"parks","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
"established_natural_area",145970,"hectares","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
"established_industrial_land",101600,"hectares","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
"operating_industrial_parks",324,"parks","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
"operating_natural_area",95700,"hectares","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
"operating_industrial_land",68000,"hectares","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
"under_construction_industrial_parks",153,"parks","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
"under_construction_natural_area",50460,"hectares","2025-09-30","Viet Nam","Foreign Investment Agency, Ministry of Finance","https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html"
