"source_record_id","name_vi","category","province_code","source","source_url","retrieved_on","location_text","reported_longitude","reported_latitude","key","province_source_url","province_match_method","map_id","match_method","coordinate_available","legal_status","review_status","candidate_map_ids","candidate_match_method","latitude","longitude","coordinate_source_url","reported_coordinate_check"
"investvietnam-1","KCN Đại Kim","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-dai-kim.html","2026-09-10","Khu công nghiệp Đại Kim Bắc Ninh nằm ở phía Đông thành phố Bắc Ninh, sát đường Quốc lộ 1A, cạnh đường Quốc lộ 18, giáp cảng Sông Cầu",105.99884,20.869078,"dai kim","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-dai-kim.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_conflict_not_used"
"investvietnam-3","KCN Từ Sơn","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-tu-son.html","2026-09-10","Nằm sát quốc lộ 1A và thị xã Từ Sơn",106.163635,20.668766,"tu son","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-tu-son.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_conflict_not_used"
"investvietnam-4","KCN Việt Nam - Nhật Bản 1","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-viet-nam---nhat-ban-1.html","2026-09-10","Nằm trong KCN Quế Võ 1 mở rộng, huyện Quế Võ, tỉnh Bắc Ninh",,,"viet nam nhat ban 1","https://investvietnam.gov.vn/vi/kcn.pd/kcn-viet-nam---nhat-ban-1.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-5","Băc Ninh - KCN Quế Võ 1 mở rộng","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-que-vo-1-mo-rong.html","2026-09-10","Khu công nghiệp Quế Võ nằm trên trục đường giao thông quan trọng, nối liền các trung tâm kinh tế lớn như Hà Nội, Hải Phòng, Quảng Ninh cũng như sân bay Quốc tế Nội Bài và các cảng biển Quốc tế, rất thuận tiện cho việc vận chuyển xuất nhập khẩu hàng hóa.",105.740662,20.863945,"que vo 1 mo rong","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-que-vo-1-mo-rong.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_conflict_not_used"
"investvietnam-7","KCN Đại Đồng - Hoàng Sơn","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-dai-dong---hoang-son.html","2026-09-10","Nằm sát nút giao lập thể giữa đường cao tốc Hà Nội-Lạng Sơn và điường tỉnh lộ 295.",,,"dai dong hoang son","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-dai-dong---hoang-son.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-8","Khu công nghiệp Việt Nam Singapore (VSIP Bắc Ninh)","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-viet-nam-singapore-vsip-bac-ninh.html","2026-09-10","Chúng tôi là nhà phát triển khu công nghiệp và đô thị hàng đầu, nằm tại vị trí chiến lược biên giới giữa Hà Nội và Bắc Ninh, đối diện với đường cao tốc số 1 nối tới cửa khẩu Hữu Nghị với Trung Quốc và đi tới Thành phố Hồ Chí Minh",105.972926,21.08556,"vsip vsip bac ninh","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-viet-nam-singapore-vsip-bac-ninh.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_consistent_unverified"
"investvietnam-10","KCN Thuận Thành 3","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-thuan-thanh-3.html","2026-09-10","Khu công nghiệp nằm sát đường Quốc lộ 282 tuyến phố Hồ - Phú Thuỵ, nằm phía Nam thị trấn Hồ",,,"thuan thanh 3","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-thuan-thanh-3.html","official_location_or_url_prefix",,"review_name_or_province",FALSE,"not_verified","needs_identity_or_location_review","osm_way_1119170923|osm_way_1467190501","exact_name_needs_province_or_identity_review",,,,"not_reported"
"investvietnam-12","KCN Cộng Hòa GĐ 2","industrial_park","31","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/hai-duong---kcn-cong-hoa-gd-2.html","2026-09-10","Giáp đường quốc lộ 18 và dự án đường 398B mới tránh thị trấn Sao Đỏ.",,,"cong hoa gd 2","https://investvietnam.gov.vn/vi/kcn.pd/hai-duong---kcn-cong-hoa-gd-2.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-15","KCN Kim Thành","industrial_park","31","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/hai-duong---kcn-kim-thanh.html","2026-09-10","Khu công nghiệp nằm cạnh Quốc lộ 5A từ Hà Nội đi Hải Phòng, cách đường cao tốc 5B khoảng 2km",,,"kim thanh","https://investvietnam.gov.vn/vi/kcn.pd/hai-duong---kcn-kim-thanh.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-18","KCN Việt Hàn mở rộng","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/bac-giang---kcn-viet-han-mo-rong.html","2026-09-10",,,,"viet han mo rong","https://investvietnam.gov.vn/vi/kcn.pd/bac-giang---kcn-viet-han-mo-rong.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
