"category","province_code","park_key","reason"
"industrial_park","01","hbp thuong tin hn","Abbreviated warehouse address, not a park name"
"industrial_park","01","meiko electronic","Factory inside the Thach That - Quoc Oai park"
"industrial_park","25","tinh phu tho","Province name carried over from a postal address"
"industrial_park","37","tinh ha nam","Province name carried over from a postal address"
"industrial_park","75","dong nai","Provincial industrial-park management board, not a park"
"industrial_park","79","cao","Fragment of Khu cong nghe cao in a campus name"
"industrial_park","79","nhon trach","Bus terminal route board in Thu Duc; the park is in Dong Nai"
"industrial_park","79","viet nam singapore","Long form of VSIP, already recorded under that name"
"industrial_park","79","bw vsip 2a","Warehouse listing inside VSIP II-A"
"industrial_park","31","vsip thuy nguyen","Local name for VSIP Hai Phong, already recorded"
