"id","name_vi","name_en","short_name","aliases","park_key","category","province_code","province_en","former_province_code","former_province_en","commune_code","commune_name","status","area_ha","developer","geometry_type","location_accuracy","geometry_source","feature_count","osm_refs","lon","lat","source_url","source_date","verified_on"
"VN-IP-01-an-ninh","Khu công nghiệp An Ninh","","An Ninh","Khu công nghiệp An Ninh","an ninh","industrial_park","01","Ha Noi","01","Ha Noi","09871","Sơn Đồng","unknown",8.075,"","polygon","site","osm_site_polygon",1,"https://www.openstreetmap.org/way/1230260365",105.722303,21.02198,"https://www.openstreetmap.org/way/1230260365","","2026-08-11"
"VN-IP-01-bac-thang-long","Khu công nghiệp Bắc Thăng Long","","Bac Thang Long","Khu công nghiệp Bắc Thăng Long|KCN Bắc Thăng Long - Km 0+800 Cao tốc BTL-NB|Khu công nghiệp Bắc Thăng Long - Tuyến 63, 122","bac thang long","industrial_park","01","Ha Noi","01","Ha Noi","00493","Thiên Lộc","unknown",297.812,"","polygon","site","osm_site_polygon",9,"https://www.openstreetmap.org/node/8807115904|https://www.openstreetmap.org/node/8807115925|https://www.openstreetmap.org/node/8829926851|https://www.openstreetmap.org/node/11531495083|https://www.openstreetmap.org/node/11533262490|https://www.openstreetmap.org/node/11533262494|https://www.openstreetmap.org/node/13604349471|https://www.openstreetmap.org/way/384465529|https://www.openstreetmap.org/way/812492624",105.772989,21.116613,"https://www.openstreetmap.org/way/384465529","","2026-08-11"
"VN-IP-01-binh-phu","Khu công nghiệp Bình Phú","","Binh Phu","Khu công nghiệp Bình Phú","binh phu","industrial_park","01","Ha Noi","01","Ha Noi","10003","Tây Phương","unknown",,"","point","locality","osm_reference_point",1,"https://www.openstreetmap.org/node/9004787862",105.60453,21.024098,"https://www.openstreetmap.org/node/9004787862","","2026-08-11"
"VN-IP-01-cau-giao","Khu công nghiệp Cầu Giáo","","Cau Giao","Khu công nghiệp Cầu Giáo","cau giao","industrial_park","01","Ha Noi","01","Ha Noi","09784","Đan Phượng","unknown",21.236,"","polygon","site","osm_site_polygon",1,"https://www.openstreetmap.org/way/1024692744",105.656249,21.095261,"https://www.openstreetmap.org/way/1024692744","","2026-08-11"
"VN-IP-01-chang-son","Khu công nghiệp Chàng Sơn","","Chang Son","Khu công nghiệp Chàng Sơn|Khu công nghiệp Chàng Sơn - Trước đối diện cây xăng Kim Quan 50m|Khu công nghiệp Chàng Sơn - Qua cây xăng Kim quan 50m","chang son","industrial_park","01","Ha Noi","01","Ha Noi","10003","Tây Phương","unknown",,"","point","locality","osm_reference_point",4,"https://www.openstreetmap.org/node/9004787887|https://www.openstreetmap.org/node/9004787888|https://www.openstreetmap.org/node/9004787889|https://www.openstreetmap.org/node/9004787890",105.58957,21.038561,"https://www.openstreetmap.org/node/9004787887","","2026-08-11"
"VN-IP-01-gia-lam","Khu công nghiệp Gia Lâm","","Gia Lam","Khu công nghiệp Gia Lâm","gia lam","industrial_park","01","Ha Noi","01","Ha Noi","00565","Gia Lâm","unknown",,"","point","locality","osm_reference_point",2,"https://www.openstreetmap.org/node/8990709062|https://www.openstreetmap.org/node/9582411766",105.951967,21.011293,"https://www.openstreetmap.org/node/9582411766","","2026-08-11"
"VN-IP-01-ha-binh-phuong","Khu công nghiệp Hà Bình Phương","","Ha Binh Phuong","Khu công nghiệp Hà Bình Phương","ha binh phuong","industrial_park","01","Ha Noi","01","Ha Noi","10183","Thường Tín","unknown",,"","point","locality","osm_reference_point",2,"https://www.openstreetmap.org/node/13247154030|https://www.openstreetmap.org/node/13247186600",105.871902,20.871925,"https://www.openstreetmap.org/node/13247186600","","2026-08-11"
"VN-IP-01-ha-noi","Khu công nghiệp Hà Nội - Đài Tư","Hanoi – Dai Tu Industrial Park","Ha Noi","Khu công nghiệp Hà Nội - Đài Tư|Hanoi – Dai Tu Industrial Park","ha noi","industrial_park","01","Ha Noi","01","Ha Noi","00136","Phúc Lợi","unknown",40.175,"","polygon","site","osm_site_polygon",1,"https://www.openstreetmap.org/way/908338997",105.924575,21.031062,"https://www.openstreetmap.org/way/908338997","","2026-08-11"
"VN-IP-01-hanssip","Khu công nghiệp HANSSIP","","HANSSIP","Khu công nghiệp HANSSIP","hanssip","industrial_park","01","Ha Noi","01","Ha Noi","10342","Đại Xuyên","unknown",,"","point","locality","osm_reference_point",3,"https://www.openstreetmap.org/node/6512229012|https://www.openstreetmap.org/node/13614630189|https://www.openstreetmap.org/way/693637990",105.917341,20.707301,"https://www.openstreetmap.org/way/693637990","","2026-08-11"
"VN-IP-01-hoang-mai","Khu công nghiệp Hoàng Mai","","Hoang Mai","Khu công nghiệp Hoàng Mai|Khu công nghiệp Hoàng Mai (431 Đường Tam Trinh)|Khu công nghiệp Vĩnh Tuy;Khu công nghiệp Lĩnh Nam|Cụm tiểu thủ công nghiệp Hai Bà Trưng;Khu công nghiệp Hai Bà Trưng;Cụm công nghiệp Hoàng Mai","hoang mai","industrial_park","01","Ha Noi","01","Ha Noi","00331","Hoàng Mai","unknown",19.635,"","polygon","site","osm_site_polygon",19,"https://www.openstreetmap.org/way/404195528|https://www.openstreetmap.org/way/601867838|https://www.openstreetmap.org/way/601882473|https://www.openstreetmap.org/way/601882479|https://www.openstreetmap.org/way/601882482|https://www.openstreetmap.org/way/601894997|https://www.openstreetmap.org/way/601894998|https://www.openstreetmap.org/way/601920108|https://www.openstreetmap.org/way/602408368|https://www.openstreetmap.org/way/675244036|https://www.openstreetmap.org/way/1076239629|https://www.openstreetmap.org/way/1084028008|https://www.openstreetmap.org/way/1084030107|https://www.openstreetmap.org/way/1084030108|https://www.openstreetmap.org/way/1493788014|https://www.openstreetmap.org/way/1504318080|https://www.openstreetmap.org/way/1525072448|https://www.openstreetmap.org/way/1527128710|https://www.openstreetmap.org/way/1527426464",105.867883,20.983002,"https://www.openstreetmap.org/way/1493788014","","2026-08-11"
