"id","name","area_ha","decision","source_url"
"osm_way_630749161","Công ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh",1955,"unreviewed","https://www.openstreetmap.org/way/630749161"
"osm_way_1489376670","KNIC Dong Long Thanh",1236,"unreviewed","https://www.openstreetmap.org/way/1489376670"
"osm_way_1333617520","Thai Hoa Wind Farm",896,"unreviewed","https://www.openstreetmap.org/way/1333617520"
"osm_way_1312077473","Công ty Cổ phần Thép Hòa Phát Dung Quất",885,"unreviewed","https://www.openstreetmap.org/way/1312077473"
"osm_way_879112397","Ha Tinh Formosa Plastics Steelworks",811,"unreviewed","https://www.openstreetmap.org/way/879112397"
"osm_way_628808943","Liên hợp Lọc hóa dầu Nghi Sơn (NSRP)",416,"unreviewed","https://www.openstreetmap.org/way/628808943"
"osm_relation_19312632","Công ty Cổ phần Sản xuất và Kinh doanh VinFast",328,"unreviewed","https://www.openstreetmap.org/relation/19312632"
"osm_way_1342652926","Công ty thủy sản Minh Phú Lộc An",291,"unreviewed","https://www.openstreetmap.org/way/1342652926"
"osm_way_548717059","Trung tâm Điện lực Vĩnh Tân",288,"unreviewed","https://www.openstreetmap.org/way/548717059"
"osm_relation_11999975","Tổ hợp hóa dầu Long Sơn",280,"unreviewed","https://www.openstreetmap.org/relation/11999975"
"osm_way_586315436","Công ty CP hữu hạn Vedan Việt Nam",268,"unreviewed","https://www.openstreetmap.org/way/586315436"
"osm_way_352918414","Nhà Máy Alumin Tân Rai",225,"unreviewed","https://www.openstreetmap.org/way/352918414"
"osm_way_584370682","Khu Phức Hợp Chu Lai - Trường Hải",218,"unreviewed","https://www.openstreetmap.org/way/584370682"
"osm_way_269744248","Căn cứ Dịch vụ Dầu khí Sao Mai-Bến Đình",207,"unreviewed","https://www.openstreetmap.org/way/269744248"
"osm_way_584188222","Nhà máy Lọc dầu Dung Quất",203,"unreviewed","https://www.openstreetmap.org/way/584188222"
"osm_way_223977713","Nhà máy Xi măng Kiên Lương - VICEM Hà Tiên",192,"unreviewed","https://www.openstreetmap.org/way/223977713"
"osm_way_823246914","CMX RE Sunseap Solar Power Company",189,"unreviewed","https://www.openstreetmap.org/way/823246914"
"osm_way_747898003","Cam Pha Power Plant",185,"unreviewed","https://www.openstreetmap.org/way/747898003"
"osm_way_879112399","Son Duong port - Vung Ang",182,"unreviewed","https://www.openstreetmap.org/way/879112399"
"osm_way_1548515085","Công trường Xử lý chất thải rắn Phước Hiệp",178,"unreviewed","https://www.openstreetmap.org/way/1548515085"
"osm_way_638518914","Thai Binh Power Center",160,"unreviewed","https://www.openstreetmap.org/way/638518914"
"osm_relation_18470850","Nhà Máy Alumin Nhân Cơ",157,"unreviewed","https://www.openstreetmap.org/relation/18470850"
"osm_way_1462549017","Cảng Chuyên Dụng Nhà Máy Nhiệt Điện Vân Phong",147,"unreviewed","https://www.openstreetmap.org/way/1462549017"
"osm_way_1320784087","Duyên Hải Power Generation Complex",144,"unreviewed","https://www.openstreetmap.org/way/1320784087"
"osm_way_410427637","Cảng Cát Lái",142,"unreviewed","https://www.openstreetmap.org/way/410427637"
"osm_way_223156506","Nhà máy Xi măng Insee Hòn Chông",138,"unreviewed","https://www.openstreetmap.org/way/223156506"
"osm_way_243192304","Hyosung",133,"unreviewed","https://www.openstreetmap.org/way/243192304"
"osm_way_1185901754","Khu CNTT Đà Nẵng",125,"unreviewed","https://www.openstreetmap.org/way/1185901754"
"osm_way_630392444","Cảng Chân Mây",121,"unreviewed","https://www.openstreetmap.org/way/630392444"
