"source_id","infrastructure_type","name","decision","reason","entity_id"
"osm-node-2647317689","aerodrome","Sân bay Trường Sa","included","retained_entity","osm-node-2647317689"
"osm-node-3291643542","aerodrome","Sân bay Phú Giáo","included","retained_entity","osm-node-3291643542"
"osm-node-7291264087","aerodrome","Sân bay Dục Mỹ","included","retained_entity","osm-node-7291264087"
"osm-relation-13456478","aerodrome","Sân bay quốc tế Long Thành","included","retained_entity","osm-relation-13456478"
"osm-relation-20136775","aerodrome","Sân bay Quốc tế Nội Bài","included","retained_entity","osm-relation-20136775"
"osm-way-1008765855","aerodrome","Sân bay Phan Thiết","included","retained_entity","osm-way-1008765855"
"osm-way-1015158456","aerodrome","Sân bay Phú Quý","included","retained_entity","osm-way-1015158456"
"osm-way-1016759175","aerodrome","Sân bay Hòa Lạc","included","retained_entity","osm-way-1016759175"
"osm-way-1081333880","aerodrome","Sân bay Biên Hòa","included","retained_entity","osm-way-1081333880"
"osm-way-1151377203","aerodrome","Sân bay Chu Lai","included","retained_entity","osm-way-1151377203"
"osm-way-119006363","aerodrome","Sân bay Vũng Tàu","included","retained_entity","osm-way-119006363"
"osm-way-1207926795","aerodrome","Sân bay Yên Bái","included","retained_entity","osm-way-1207926795"
"osm-way-1214669797","aerodrome","Sân bay Điện Biên","included","retained_entity","osm-way-1214669797"
"osm-way-1274811046","aerodrome","Sân bay Nhân Cơ","included","retained_entity","osm-way-1274811046"
"osm-way-1346620020","aerodrome","Sân bay Nước Trong","included","retained_entity","osm-way-1346620020"
"osm-way-1350848850","aerodrome","Sân bay quốc tế Gia Bình","included","retained_entity","osm-way-1350848850"
"osm-way-1356959970","aerodrome",NA,"excluded","missing_name",NA
"osm-way-1494545538","aerodrome","Sân bay Năm Căn","included","retained_entity","osm-way-1494545538"
"osm-way-159974733","aerodrome","Sân bay Pleiku","included","retained_entity","osm-way-159974733"
"osm-way-160203373","aerodrome","Sân bay Tuy Hòa","included","retained_entity","osm-way-160203373"
"osm-way-169186384","aerodrome","Sân bay quốc tế Cần Thơ","included","retained_entity","osm-way-169186384"
"osm-way-217455233","aerodrome","Sân bay Gia Lâm","included","retained_entity","osm-way-217455233"
"osm-way-217466613","aerodrome","Sân bay quốc tế Phú Bài","included","retained_entity","osm-way-217466613"
"osm-way-217476265","aerodrome","Sân bay quốc tế Đà Nẵng","included","retained_entity","osm-way-217476265"
"osm-way-217534447","aerodrome","Sân bay quốc tế Cam Ranh","included","retained_entity","osm-way-217534447"
"osm-way-237186082","aerodrome","Sân bay Phù Cát","included","retained_entity","osm-way-237186082"
"osm-way-240657429","aerodrome","Sân bay Kiến An","included","retained_entity","osm-way-240657429"
"osm-way-240659354","aerodrome","Sân bay quốc tế Cát Bi","included","retained_entity","osm-way-240659354"
"osm-way-241574727","aerodrome","Sân bay Đồng Hới","included","retained_entity","osm-way-241574727"
"osm-way-319449114","aerodrome","Sân bay quốc tế Liên Khương","included","retained_entity","osm-way-319449114"
"osm-way-35011349","aerodrome","Sân bay Buôn Ma Thuột","included","retained_entity","osm-way-35011349"
"osm-way-358573470","aerodrome","Sân bay Nước Mặn","included","retained_entity","osm-way-358573470"
"osm-way-466158858","aerodrome","Sân bay Kép","included","retained_entity","osm-way-466158858"
"osm-way-471507575","aerodrome","Sân bay Thọ Xuân","included","retained_entity","osm-way-471507575"
"osm-way-485097172","aerodrome","Sân bay Rạch Giá","included","retained_entity","osm-way-485097172"
"osm-way-486311356","aerodrome","Sân bay quốc tế Phú Quốc","included","retained_entity","osm-way-486311356"
"osm-way-54242195","aerodrome","Sân bay quốc tế Tân Sơn Nhất","included","retained_entity","osm-way-54242195"
"osm-way-585991360","aerodrome","Sân bay quốc tế Vinh","included","retained_entity","osm-way-585991360"
"osm-way-587323606","aerodrome","Sân bay quốc tế Vân Đồn","included","retained_entity","osm-way-587323606"
"osm-way-62060973","aerodrome","Sân bay Côn Đảo","included","retained_entity","osm-way-62060973"
"osm-way-630057360","aerodrome","Sân bay Cà Mau","included","retained_entity","osm-way-630057360"
"osm-way-704557284","aerodrome","Phi trường Long Thành","duplicate","spatially_same_entity","osm-relation-13456478"
"osm-way-772339301","aerodrome","Sân bay Nà Sản","included","retained_entity","osm-way-772339301"
"osm-way-823243854","aerodrome","Sân bay Thành Sơn","included","retained_entity","osm-way-823243854"
"osm-way-894630864","aerodrome",NA,"excluded","missing_name",NA
"osm-node-10745126063","border_control",NA,"excluded","missing_name",NA
"osm-node-11682267580","border_control",NA,"excluded","missing_name",NA
"osm-node-11693051224","border_control",NA,"excluded","missing_name",NA
"osm-node-11752037554","border_control",NA,"excluded","missing_name",NA
"osm-node-11853152873","border_control",NA,"excluded","missing_name",NA
"osm-node-11853152882","border_control",NA,"excluded","missing_name",NA
"osm-node-1192964137","border_control","Cửa khẩu Móng Cái","included","retained_entity","osm-node-1192964137"
"osm-node-12011701246","border_control",NA,"excluded","missing_name",NA
"osm-node-12011701249","border_control",NA,"excluded","missing_name",NA
"osm-node-12416690344","border_control",NA,"excluded","missing_name",NA
"osm-node-12416690345","border_control",NA,"excluded","missing_name",NA
"osm-node-12462442417","border_control",NA,"excluded","missing_name",NA
"osm-node-1275688605","border_control",NA,"excluded","missing_name",NA
"osm-node-13001787892","border_control",NA,"excluded","missing_name",NA
"osm-node-13043217174","border_control",NA,"excluded","missing_name",NA
"osm-node-13114153337","border_control",NA,"excluded","missing_name",NA
"osm-node-13114153338","border_control",NA,"excluded","missing_name",NA
"osm-node-13251468360","border_control",NA,"excluded","missing_name",NA
"osm-node-13251468361","border_control",NA,"excluded","missing_name",NA
"osm-node-13519556547","border_control",NA,"excluded","missing_name",NA
"osm-node-1391045466","border_control","Cửa khẩu Na Mèo, Quan Sơn, Thanh Hóa","included","retained_entity","osm-node-1391045466"
"osm-node-1577103619","border_control",NA,"excluded","missing_name",NA
"osm-node-1890365764","border_control",NA,"excluded","missing_name",NA
"osm-node-1890376643","border_control","Cửa khẩu Lý Vạn","included","retained_entity","osm-node-1890376643"
"osm-node-1911822542","border_control",NA,"excluded","missing_name",NA
"osm-node-1999541141","border_control",NA,"excluded","missing_name",NA
"osm-node-2603721197","border_control","Cửa khẩu Nà Nưa","included","retained_entity","osm-node-2603721197"
"osm-node-2927418820","border_control",NA,"excluded","missing_name",NA
"osm-node-2944284076","border_control","Cửa khẩu La Lay","included","retained_entity","osm-node-2944284076"
"osm-node-3087856961","border_control",NA,"excluded","missing_name",NA
"osm-node-3144381596","border_control","Cửa khẩu Na Hình","included","retained_entity","osm-node-3144381596"
"osm-node-3803585684","border_control",NA,"excluded","missing_name",NA
"osm-node-3803585685","border_control",NA,"excluded","missing_name",NA
"osm-node-427996243","border_control",NA,"excluded","missing_name",NA
"osm-node-4348684318","border_control",NA,"excluded","missing_name",NA
"osm-node-4562478134","border_control",NA,"excluded","missing_name",NA
"osm-node-4634560389","border_control","Cửa Khẩu Hoành Mô","included","retained_entity","osm-node-4634560389"
"osm-node-4964032695","border_control","Cửa khẩu Thanh Thủy","included","retained_entity","osm-node-4964032695"
"osm-node-4964032697","border_control","Cửa khẩu quốc tế Tà Lùng","included","retained_entity","osm-node-4964032697"
"osm-node-5038930790","border_control","Cửa khẩu Quốc tế Mộc Bài","duplicate","same_normalized_name","osm-way-1019000034"
"osm-node-5038930791","border_control","Cửa khẩu Quốc tế Mộc Bài","duplicate","same_normalized_name","osm-way-1019000034"
"osm-node-5129681124","border_control","Cửa khẩu Tân Thanh","included","retained_entity","osm-node-5129681124"
"osm-node-5313153738","border_control",NA,"excluded","missing_name",NA
"osm-node-5369976290","border_control",NA,"excluded","missing_name",NA
"osm-node-5457424433","border_control",NA,"excluded","missing_name",NA
"osm-node-5480276106","border_control",NA,"excluded","missing_name",NA
"osm-node-5644089146","border_control","Cửa khẩu Pò Peo","included","retained_entity","osm-node-5644089146"
"osm-node-5696164239","border_control","Dak Plo","included","retained_entity","osm-node-5696164239"
"osm-node-5792283587","border_control","Cửa khẩu Bắc Phong Sinh","included","retained_entity","osm-node-5792283587"
"osm-node-5792283597","border_control",NA,"excluded","missing_name",NA
"osm-node-6340608320","border_control","Lao Cai exit","included","retained_entity","osm-node-6340608320"
"osm-node-668844134","border_control",NA,"excluded","missing_name",NA
"osm-node-668844184","border_control",NA,"excluded","missing_name",NA
"osm-node-6711596511","border_control","Cửa khẩu Xín Mần","included","retained_entity","osm-node-6711596511"
"osm-node-6796780645","border_control","Cửa khẩu Chi Ma","included","retained_entity","osm-node-6796780645"
"osm-node-6805769047","border_control",NA,"excluded","missing_name",NA
"osm-node-6975658298","border_control",NA,"excluded","missing_name",NA
"osm-node-7001524585","border_control",NA,"excluded","missing_name",NA
"osm-node-7624082258","border_control","Cửa khẩu Bình Nghi","included","retained_entity","osm-node-7624082258"
"osm-node-7714109427","border_control","Cửa khẩu Bí Hà","included","retained_entity","osm-node-7714109427"
"osm-node-7808650541","border_control",NA,"excluded","missing_name",NA
"osm-node-7918927875","border_control",NA,"excluded","missing_name",NA
"osm-node-7953299057","border_control",NA,"excluded","missing_name",NA
"osm-node-8027467006","border_control","Cửa khẩu Thanh Chương","included","retained_entity","osm-node-8027467006"
"osm-node-8506893498","border_control",NA,"excluded","missing_name",NA
"osm-node-8554464268","border_control",NA,"excluded","missing_name",NA
"osm-node-8920840019","border_control",NA,"excluded","missing_name",NA
"osm-node-8920840135","border_control",NA,"excluded","missing_name",NA
"osm-node-9147381616","border_control",NA,"excluded","missing_name",NA
"osm-way-1017067919","border_control","Của khẩu quốc tế Bình Hiệp","included","retained_entity","osm-way-1017067919"
"osm-way-1019000034","border_control","Cửa khẩu quốc tế Mộc Bài","included","retained_entity","osm-way-1019000034"
"osm-way-1100202794","border_control","Cửa khẩu Quốc tế Giang Thành","included","retained_entity","osm-way-1100202794"
"osm-way-1100970581","border_control","Cửa khẩu quốc tế Tịnh Biên","included","retained_entity","osm-way-1100970581"
"osm-way-1104007419","border_control","Cửa khẩu quốc tế Khánh Bình","included","retained_entity","osm-way-1104007419"
"osm-way-1138593905","border_control",NA,"excluded","missing_name",NA
"osm-way-1201589073","border_control",NA,"excluded","missing_name",NA
"osm-way-1373701762","border_control",NA,"excluded","missing_name",NA
"osm-way-1375853707","border_control",NA,"excluded","missing_name",NA
"osm-way-1378283024","border_control",NA,"excluded","missing_name",NA
"osm-way-1378283025","border_control",NA,"excluded","missing_name",NA
"osm-way-1378283026","border_control",NA,"excluded","missing_name",NA
"osm-way-1386958977","border_control",NA,"excluded","missing_name",NA
"osm-way-1386958978","border_control",NA,"excluded","missing_name",NA
"osm-way-1386958979","border_control",NA,"excluded","missing_name",NA
"osm-way-1386958980","border_control",NA,"excluded","missing_name",NA
"osm-way-1414795156","border_control",NA,"excluded","missing_name",NA
"osm-way-1418637336","border_control",NA,"excluded","missing_name",NA
"osm-way-1419641809","border_control",NA,"excluded","missing_name",NA
"osm-way-1419641810","border_control",NA,"excluded","missing_name",NA
"osm-way-1456899276","border_control",NA,"excluded","missing_name",NA
"osm-way-1494638979","border_control","Cửa khẩu Quốc tế Tân Nam","included","retained_entity","osm-way-1494638979"
"osm-way-251721577","border_control","Cửa khẩu Quốc tế Hà Tiên","included","retained_entity","osm-way-251721577"
"osm-way-304051583","border_control","Cửa khẩu Quốc tế Hoa Lư","included","retained_entity","osm-way-304051583"
