"id","infrastructure_type","infrastructure_class","status","railway_service","railway_usage","country_relation","distance_to_country_m","province_codes","province_assignment_method","source_url","decision","reason"
"osm-way-1000085479","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"33","polygon_intersection","https://www.openstreetmap.org/way/1000085479","included","intersects_generalized_vietnam_boundary"
"osm-way-10047796","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"01","polygon_intersection","https://www.openstreetmap.org/way/10047796","included","intersects_generalized_vietnam_boundary"
"osm-way-10048345","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"01","polygon_intersection","https://www.openstreetmap.org/way/10048345","included","intersects_generalized_vietnam_boundary"
"osm-way-1006639210","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"75","polygon_intersection","https://www.openstreetmap.org/way/1006639210","included","intersects_generalized_vietnam_boundary"
"osm-way-1008852109","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"31","polygon_intersection","https://www.openstreetmap.org/way/1008852109","included","intersects_generalized_vietnam_boundary"
"osm-way-1008852110","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"31","polygon_intersection","https://www.openstreetmap.org/way/1008852110","included","intersects_generalized_vietnam_boundary"
"osm-way-1008852111","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"31","polygon_intersection","https://www.openstreetmap.org/way/1008852111","included","intersects_generalized_vietnam_boundary"
"osm-way-1008852112","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"31","polygon_intersection","https://www.openstreetmap.org/way/1008852112","included","intersects_generalized_vietnam_boundary"
"osm-way-1009060046","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"01","polygon_intersection","https://www.openstreetmap.org/way/1009060046","included","intersects_generalized_vietnam_boundary"
"osm-way-1009060048","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"01","polygon_intersection","https://www.openstreetmap.org/way/1009060048","included","intersects_generalized_vietnam_boundary"
"osm-way-1010841873","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"01","polygon_intersection","https://www.openstreetmap.org/way/1010841873","included","intersects_generalized_vietnam_boundary"
"osm-way-1010841874","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"01","polygon_intersection","https://www.openstreetmap.org/way/1010841874","included","intersects_generalized_vietnam_boundary"
"osm-way-1010841875","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"01","polygon_intersection","https://www.openstreetmap.org/way/1010841875","included","intersects_generalized_vietnam_boundary"
"osm-way-1010841876","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"01","polygon_intersection","https://www.openstreetmap.org/way/1010841876","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611343","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611343","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611344","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611344","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611347","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611347","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611348","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611348","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611351","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611351","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611352","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611352","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611355","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611355","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611356","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611356","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611357","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611357","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611358","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611358","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611359","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611359","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611360","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611360","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611363","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611363","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611364","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611364","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611365","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611365","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611366","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611366","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611367","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611367","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611369","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611369","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611372","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611372","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611373","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611373","included","intersects_generalized_vietnam_boundary"
"osm-way-1011611374","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"15","polygon_intersection","https://www.openstreetmap.org/way/1011611374","included","intersects_generalized_vietnam_boundary"
"osm-way-1015723536","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"75","polygon_intersection","https://www.openstreetmap.org/way/1015723536","included","intersects_generalized_vietnam_boundary"
"osm-way-1015723537","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"75","polygon_intersection","https://www.openstreetmap.org/way/1015723537","included","intersects_generalized_vietnam_boundary"
"osm-way-1015723538","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"75","polygon_intersection","https://www.openstreetmap.org/way/1015723538","included","intersects_generalized_vietnam_boundary"
"osm-way-1015723539","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"75","polygon_intersection","https://www.openstreetmap.org/way/1015723539","included","intersects_generalized_vietnam_boundary"
"osm-way-1018421330","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"79","polygon_intersection","https://www.openstreetmap.org/way/1018421330","included","intersects_generalized_vietnam_boundary"
"osm-way-1018421336","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"79","polygon_intersection","https://www.openstreetmap.org/way/1018421336","included","intersects_generalized_vietnam_boundary"
"osm-way-1020579999","expressway","trunk","unknown",NA,NA,"intersects_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020579999","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580000","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580000","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580001","expressway","trunk","unknown",NA,NA,"intersects_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580001","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580002","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580002","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580009","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580009","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580010","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580010","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580011","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580011","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580012","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580012","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580017","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580017","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580019","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580019","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580022","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580022","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580024","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580024","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580027","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580027","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580029","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580029","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580035","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580035","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580036","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580036","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580037","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580037","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580038","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580038","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580039","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580039","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580041","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580041","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580053","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580053","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580055","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580055","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580058","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580058","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580059","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580059","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580060","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580060","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580061","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580061","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580062","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580062","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580063","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580063","included","intersects_generalized_vietnam_boundary"
