key,code,iso,name_vi,name_en,type
hanoi,01,VN-HN,Hà Nội,Ha Noi,municipality
hagiang,02,VN-03,Hà Giang,Ha Giang,province
caobang,04,VN-04,Cao Bằng,Cao Bang,province
backan,06,VN-53,Bắc Kạn,Bac Kan,province
tuyenquang,08,VN-07,Tuyên Quang,Tuyen Quang,province
laocai,10,VN-02,Lào Cai,Lao Cai,province
dienbien,11,VN-71,Điện Biên,Dien Bien,province
laichau,12,VN-01,Lai Châu,Lai Chau,province
sonla,14,VN-05,Sơn La,Son La,province
yenbai,15,VN-06,Yên Bái,Yen Bai,province
hoabinh,17,VN-14,Hòa Bình,Hoa Binh,province
thainguyen,19,VN-69,Thái Nguyên,Thai Nguyen,province
langson,20,VN-09,Lạng Sơn,Lang Son,province
quangninh,22,VN-13,Quảng Ninh,Quang Ninh,province
bacgiang,24,VN-54,Bắc Giang,Bac Giang,province
phutho,25,VN-68,Phú Thọ,Phu Tho,province
vinhphuc,26,VN-70,Vĩnh Phúc,Vinh Phuc,province
bacninh,27,VN-56,Bắc Ninh,Bac Ninh,province
haiduong,30,VN-61,Hải Dương,Hai Duong,province
haiphong,31,VN-HP,Hải Phòng,Hai Phong,municipality
hungyen,33,VN-66,Hưng Yên,Hung Yen,province
thaibinh,34,VN-20,Thái Bình,Thai Binh,province
hanam,35,VN-63,Hà Nam,Ha Nam,province
namdinh,36,VN-67,Nam Định,Nam Dinh,province
ninhbinh,37,VN-18,Ninh Bình,Ninh Binh,province
thanhhoa,38,VN-21,Thanh Hóa,Thanh Hoa,province
nghean,40,VN-22,Nghệ An,Nghe An,province
hatinh,42,VN-23,Hà Tĩnh,Ha Tinh,province
quangbinh,44,VN-24,Quảng Bình,Quang Binh,province
quangtri,45,VN-25,Quảng Trị,Quang Tri,province
thuathienhue,46,VN-26,Thừa Thiên Huế,Thua Thien Hue,province
danang,48,VN-DN,Đà Nẵng,Da Nang,municipality
quangnam,49,VN-27,Quảng Nam,Quang Nam,province
quangngai,51,VN-29,Quảng Ngãi,Quang Ngai,province
binhdinh,52,VN-31,Bình Định,Binh Dinh,province
phuyen,54,VN-32,Phú Yên,Phu Yen,province
khanhhoa,56,VN-34,Khánh Hòa,Khanh Hoa,province
ninhthuan,58,VN-36,Ninh Thuận,Ninh Thuan,province
binhthuan,60,VN-40,Bình Thuận,Binh Thuan,province
kontum,62,VN-28,Kon Tum,Kon Tum,province
gialai,64,VN-30,Gia Lai,Gia Lai,province
daklak,66,VN-33,Đắk Lắk,Dak Lak,province
daknong,67,VN-72,Đắk Nông,Dak Nong,province
lamdong,68,VN-35,Lâm Đồng,Lam Dong,province
binhphuoc,70,VN-58,Bình Phước,Binh Phuoc,province
tayninh,72,VN-37,Tây Ninh,Tay Ninh,province
binhduong,74,VN-57,Bình Dương,Binh Duong,province
dongnai,75,VN-39,Đồng Nai,Dong Nai,province
bariavungtau,77,VN-43,Bà Rịa–Vũng Tàu,Ba Ria-Vung Tau,province
hochiminh,79,VN-SG,Thành phố Hồ Chí Minh,Ho Chi Minh City,municipality
longan,80,VN-41,Long An,Long An,province
tiengiang,82,VN-46,Tiền Giang,Tien Giang,province
bentre,83,VN-50,Bến Tre,Ben Tre,province
travinh,84,VN-51,Trà Vinh,Tra Vinh,province
vinhlong,86,VN-49,Vĩnh Long,Vinh Long,province
dongthap,87,VN-45,Đồng Tháp,Dong Thap,province
angiang,89,VN-44,An Giang,An Giang,province
kiengiang,91,VN-47,Kiên Giang,Kien Giang,province
cantho,92,VN-CT,Cần Thơ,Can Tho,municipality
haugiang,93,VN-73,Hậu Giang,Hau Giang,province
soctrang,94,VN-52,Sóc Trăng,Soc Trang,province
baclieu,95,VN-55,Bạc Liêu,Bac Lieu,province
camau,96,VN-59,Cà Mau,Ca Mau,province
