code,region_code,region_vi,region_en
01,RRD,Đồng bằng sông Hồng,Red River Delta
02,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
04,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
06,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
08,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
10,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
11,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
12,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
14,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
15,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
17,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
19,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
20,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
22,RRD,Đồng bằng sông Hồng,Red River Delta
24,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
25,NMM,Trung du và miền núi phía Bắc,Northern Midlands and Mountains
26,RRD,Đồng bằng sông Hồng,Red River Delta
27,RRD,Đồng bằng sông Hồng,Red River Delta
30,RRD,Đồng bằng sông Hồng,Red River Delta
31,RRD,Đồng bằng sông Hồng,Red River Delta
33,RRD,Đồng bằng sông Hồng,Red River Delta
34,RRD,Đồng bằng sông Hồng,Red River Delta
35,RRD,Đồng bằng sông Hồng,Red River Delta
36,RRD,Đồng bằng sông Hồng,Red River Delta
37,RRD,Đồng bằng sông Hồng,Red River Delta
38,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
40,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
42,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
44,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
45,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
46,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
48,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
49,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
51,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
52,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
54,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
56,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
58,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
60,NCC,Bắc Trung Bộ và Duyên hải miền Trung,North Central and Central Coast
62,CH,Tây Nguyên,Central Highlands
64,CH,Tây Nguyên,Central Highlands
66,CH,Tây Nguyên,Central Highlands
67,CH,Tây Nguyên,Central Highlands
68,CH,Tây Nguyên,Central Highlands
70,SE,Đông Nam Bộ,Southeast
72,SE,Đông Nam Bộ,Southeast
74,SE,Đông Nam Bộ,Southeast
75,SE,Đông Nam Bộ,Southeast
77,SE,Đông Nam Bộ,Southeast
79,SE,Đông Nam Bộ,Southeast
80,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
82,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
83,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
84,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
86,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
87,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
89,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
91,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
92,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
93,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
94,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
95,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
96,MRD,Đồng bằng sông Cửu Long,Mekong River Delta
