slug,ten,tinhSlug,tinhTen,diaDiem,dienTichHa,isPlanningOnly,hasDtm,hasDocs,source_url,retrieved_on
kcn-binh-hoa,KCN Bình Hòa,an-giang,An Giang,Huyện Châu Thành,252,False,False,False,https://kcn-kkt.com/kcn/kcn-binh-hoa,2026-09-10
kcn-binh-long-an-giang,KCN Bình Long,an-giang,An Giang,Huyện Châu Phú,31,False,False,False,https://kcn-kkt.com/kcn/kcn-binh-long-an-giang,2026-09-10
kcn-dinh-thanh,KCN Định Thành,an-giang,An Giang,Huyện Thoại Sơn,155,False,False,False,https://kcn-kkt.com/kcn/kcn-dinh-thanh,2026-09-10
kcn-hoi-an,KCN Hội An,an-giang,An Giang,Huyện Chợ Mới,100,False,False,False,https://kcn-kkt.com/kcn/kcn-hoi-an,2026-09-10
kcn-kien-luong-ii,KCN Kiên Lương II,an-giang,An Giang,Huyện Kiên Lương,175,False,False,False,https://kcn-kkt.com/kcn/kcn-kien-luong-ii,2026-09-10
kcn-thanh-loc,KCN Thạnh Lộc,an-giang,An Giang,Huyện Châu Thành,252,False,False,False,https://kcn-kkt.com/kcn/kcn-thanh-loc,2026-09-10
kcn-thuan-yen-an-giang,KCN Thuận Yên,an-giang,An Giang,Thành phố Hà Tiên,134,False,False,False,https://kcn-kkt.com/kcn/kcn-thuan-yen-an-giang,2026-09-10
kcn-vam-cong,KCN Vàm Cống,an-giang,An Giang,Thành phố Long Xuyên,194,False,False,False,https://kcn-kkt.com/kcn/kcn-vam-cong,2026-09-10
kcn-xeo-ro,KCN Xẻo Rô,an-giang,An Giang,Huyện An Biên,211,False,False,False,https://kcn-kkt.com/kcn/kcn-xeo-ro,2026-09-10
kcn-xuan-to,KCN Xuân Tô,an-giang,An Giang,Thị xã Tịnh Biên,140,False,False,False,https://kcn-kkt.com/kcn/kcn-xuan-to,2026-09-10
cum-cong-nghiep-doan-bai-luong-phong-2,Cụm công nghiệp Đoàn Bài - Lương Phong 2,bac-ninh,Bắc Ninh,Tỉnh Bắc Giang,75,False,False,False,https://kcn-kkt.com/kcn/cum-cong-nghiep-doan-bai-luong-phong-2,2026-09-10
cum-cong-nghiep-nham-son-yen-lu,Cụm công nghiệp Nhâm Sơn - Yên Lữ,bac-ninh,Bắc Ninh,Tỉnh Bắc Giang,75,False,False,False,https://kcn-kkt.com/kcn/cum-cong-nghiep-nham-son-yen-lu,2026-09-10
kcn-do-thi-dich-vu-tien-son-ninh-son,KCN - Đô thị - Dịch vụ Tiên Sơn - Ninh Sơn,bac-ninh,Bắc Ninh,Huyện Việt Yên,223,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-tien-son-ninh-son,2026-09-10
kcn-do-thi-va-dich-vu-luong-tai,KCN - Đô thị và Dịch vụ Lương Tài,bac-ninh,Bắc Ninh,Huyện Lương Tài,665,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-va-dich-vu-luong-tai,2026-09-10
kcn-an-ha-1,KCN An Hà 1,bac-ninh,Bắc Ninh,Xã Tiên Lục,150,True,False,False,https://kcn-kkt.com/kcn/kcn-an-ha-1,2026-09-10
kcn-an-viet-que-vo-6,KCN An Việt - Quế Võ 6,bac-ninh,Bắc Ninh,Thị xã Quế Võ,80,False,True,True,https://kcn-kkt.com/kcn/kcn-an-viet-que-vo-6,2026-09-10
kcn-bong-lai-dao-vien,KCN Bồng Lai - Đào Viên,bac-ninh,Bắc Ninh,"Phường Bồng Lai, Đào Viên",160,True,False,False,https://kcn-kkt.com/kcn/kcn-bong-lai-dao-vien,2026-09-10
kcn-cam-ly,KCN Cẩm Lý,bac-ninh,Bắc Ninh,Xã Cẩm Lý,352,True,False,False,https://kcn-kkt.com/kcn/kcn-cam-ly,2026-09-10
kcn-cong-nghe-cao-dao-vien,KCN công nghệ cao Đào Viên,bac-ninh,Bắc Ninh,Phường Đào Viên,105,True,False,False,https://kcn-kkt.com/kcn/kcn-cong-nghe-cao-dao-vien,2026-09-10
kcn-cong-nghe-so,KCN Công nghệ số,bac-ninh,Bắc Ninh,"Phường Võ Cường, Hạp Lĩnh; xã Liên Bão",213.3,True,False,False,https://kcn-kkt.com/kcn/kcn-cong-nghe-so,2026-09-10
kcn-du-lieu,KCN Dữ liệu,bac-ninh,Bắc Ninh,Phường Cảnh Thụy,600,True,False,False,https://kcn-kkt.com/kcn/kcn-du-lieu,2026-09-10
kcn-dai-dong-hoan-son-giai-doan-1,KCN Đại Đông - Hoàn Sơn (Giai đoạn 1),bac-ninh,Bắc Ninh,"Xã Đại Đông, xã Hoàn Sơn, xã Trí Phương huyện Tiên Du và phường Tân Hồng, thành phố Từ Sơn.",287,False,False,False,https://kcn-kkt.com/kcn/kcn-dai-dong-hoan-son-giai-doan-1,2026-09-10
kcn-dai-dong-hoan-son-giai-doan-2,KCN Đại Đông - Hoàn Sơn (Giai đoạn 2),bac-ninh,Bắc Ninh,"Xã Hoàn Sơn, xã Phát Tích, xã Trí Phương, huyện Tiên Du.",96,False,False,False,https://kcn-kkt.com/kcn/kcn-dai-dong-hoan-son-giai-doan-2,2026-09-10
kcn-dinh-tram,KCN Định Trâm,bac-ninh,Bắc Ninh,Huyện Việt Yên,127,False,False,False,https://kcn-kkt.com/kcn/kcn-dinh-tram,2026-09-10
kcn-duc-giang,KCN Đức Giang,bac-ninh,Bắc Ninh,Phường Cảnh Thụy; Xã Đồng Việt,285.4,True,False,False,https://kcn-kkt.com/kcn/kcn-duc-giang,2026-09-10
kcn-gia-binh,KCN Gia Bình,bac-ninh,Bắc Ninh,"Xã Đông Cửu, xã Lăng Ngâm, xã Đại Bái, huyện Gia Bình",306,False,False,False,https://kcn-kkt.com/kcn/kcn-gia-binh,2026-09-10
kcn-gia-binh-1,KCN Gia Bình 1,bac-ninh,Bắc Ninh,Huyện Gia Bình,250,False,False,False,https://kcn-kkt.com/kcn/kcn-gia-binh-1,2026-09-10
kcn-gia-binh-ii,KCN Gia Bình II,bac-ninh,Bắc Ninh,"Xã Nhân Thắng, xã Bình Dương, xã Thái Báo, xã Văn Ninh, huyện Gia Bình",250,False,False,False,https://kcn-kkt.com/kcn/kcn-gia-binh-ii,2026-09-10
kcn-hanaka,KCN Hanaka,bac-ninh,Bắc Ninh,"Chuyên sang tiếp giáp khu công nghiệp Gia Bình II, huyện Gia Bình",55,False,False,False,https://kcn-kkt.com/kcn/kcn-hanaka,2026-09-10
kcn-hiep-hoa-ii,KCN Hiệp Hòa II,bac-ninh,Bắc Ninh,Xã Hiệp Hòa,466,True,False,False,https://kcn-kkt.com/kcn/kcn-hiep-hoa-ii,2026-09-10
kcn-hiep-hoa-iii,KCN Hiệp Hòa III,bac-ninh,Bắc Ninh,Xã Hiệp Hòa,225,True,False,False,https://kcn-kkt.com/kcn/kcn-hiep-hoa-iii,2026-09-10
kcn-hoa-phu-bac-ninh,KCN Hòa Phú,bac-ninh,Bắc Ninh,Huyện Hiệp Hòa,515,False,False,False,https://kcn-kkt.com/kcn/kcn-hoa-phu-bac-ninh,2026-09-10
kcn-hoang-van-iv,KCN Hoàng Vân IV,bac-ninh,Bắc Ninh,Xã Hoàng Vân,140,True,False,False,https://kcn-kkt.com/kcn/kcn-hoang-van-iv,2026-09-10
kcn-hoanh-son-bac-ninh,KCN Hoành Sơn,bac-ninh,Bắc Ninh,Xã Lạng Giang,164,True,False,False,https://kcn-kkt.com/kcn/kcn-hoanh-son-bac-ninh,2026-09-10
kcn-hop-thinh-i,KCN Hợp Thịnh I,bac-ninh,Bắc Ninh,Xã Hợp Thịnh,150,True,False,False,https://kcn-kkt.com/kcn/kcn-hop-thinh-i,2026-09-10
kcn-hop-thinh-ii,KCN Hợp Thịnh II,bac-ninh,Bắc Ninh,Xã Hợp Thịnh,160,True,False,False,https://kcn-kkt.com/kcn/kcn-hop-thinh-ii,2026-09-10
kcn-hop-thinh-iii,KCN Hợp Thịnh III,bac-ninh,Bắc Ninh,Xã Hợp Thịnh,134,True,False,False,https://kcn-kkt.com/kcn/kcn-hop-thinh-iii,2026-09-10
kcn-huyen-son,KCN Huyện Sơn,bac-ninh,Bắc Ninh,Huyện Lục Nam,150,False,False,False,https://kcn-kkt.com/kcn/kcn-huyen-son,2026-09-10
kcn-luong-tai-1,KCN Lương Tài 1,bac-ninh,Bắc Ninh,Huyện Lương Tài,245,False,False,False,https://kcn-kkt.com/kcn/kcn-luong-tai-1,2026-09-10
kcn-luong-tai-2,KCN Lương Tài 2,bac-ninh,Bắc Ninh,Huyện Lương Tài,495,False,False,False,https://kcn-kkt.com/kcn/kcn-luong-tai-2,2026-09-10
kcn-luong-tai-3,KCN Lương Tài 3,bac-ninh,Bắc Ninh,"Xã Trung Chính, Trung Kênh",510,True,False,False,https://kcn-kkt.com/kcn/kcn-luong-tai-3,2026-09-10
