"park_id","source_id","name_vi","source_url","longitude","latitude","coordinate_available","coordinate_source","coordinate_source_url","coordinate_match_method","coordinate_confidence","old_iso","old_province_code","old_province_name_vi","old_province_name_en","province_code","province_name_vi","province_name_en","source","source_page","retrieved_on"
"investvietnam-5","5","Băc Ninh - KCN Quế Võ 1 mở rộng","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-que-vo-1-mo-rong.html",105.740662,20.863945,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-1","1","KCN Đại Kim","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-dai-kim.html",105.99884,20.869078,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-2","2","KCN HANAKA","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-hanaka.html",105.674744,20.833144,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-389","389","Khu công nghiệp Hà Nội - Đài Tư","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-ha-noi---dai-tu.html",105.903518,21.035177,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-390","390","Khu công nghiệp Hỗ trợ Nam Hà Nội","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-ho-tro-nam-ha-noi.html",105.914642,20.708342,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-394","394","Khu công nghiệp Phú Nghĩa","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-phu-nghia.html",105.671339,20.929347,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-391","391","Khu công nghiệp Sài Đồng B","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-sai-dong-b.html",105.900709,21.026089,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-392","392","Khu công nghiệp Thạch Thất - Quốc Oai","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-thach-that---quoc-oai.html",105.632238,21.007005,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-388","388","Khu công nghiệp Thăng Long","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-thang-long.html",105.773263,21.116218,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-8","8","Khu công nghiệp Việt Nam Singapore (VSIP Bắc Ninh)","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-viet-nam-singapore-vsip-bac-ninh.html",105.972926,21.08556,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-315","315","Khu công viên công nghệ thông tin Hà Nội","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-vien-cong-nghe-thong-tin-ha-noi.html",105.896559,21.040733,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-438","438","Thông tin chung khu công nghiệp Hỗ trợ Nam Hà Nội (HANSSIP)","https://investvietnam.gov.vn/vi/kcn.pd/thong-tin-chung-khu-cong-nghiep-ho-tro-nam-ha-noi-hanssip.html",105.915727,20.700323,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-496","496","Thông tin về Khu công nghiệp Du Long","https://investvietnam.gov.vn/vi/kcn.pd/thong-tin-ve-khu-cong-nghiep-du-long.html",105.878506,20.99799,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-HN","01","Hà Nội","Ha Noi","01","Hà Nội","Ha Noi","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-503","503","KHU CÔNG NGHIỆP BÌNH XUYÊN II","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-binh-xuyen-ii.html",104.384365,21.576363,TRUE,"Invest Vietnam map feed","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html","source_reported","unverified_source","VN-06","15","Yên Bái","Yen Bai","15","Lào Cai","Lao Cai","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
