"source_id","province_vi","name_vi","developer","address","source_url","source_date","retrieved_on"
"1","Bắc Giang","Song Khê- Nội Hoàng","1. Công ty Cổ phần Đầu tư Kinh doanh Nhà Hoàng Hải 2. Công ty cổ phần công nghiệp Tàu Thủy Bắc Giang","xã Song Khê, thành phố Bắc Giang","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"2","Bắc Giang","Vân Trung","Công ty TNHH Fugiang","xã Vân Trung, huyện Việt Yên, tỉnh Bắc Giang","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"3","Bắc Giang","Quang Châu","Tổng Công ty phát triển đô thị Kinh Bắc","xã Quang Châu, huyện Việt Yên, tỉnh Bắc Giang","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"4","Bắc Giang","Đình Trám","Công ty Phát triển hạ tầng KCN tỉnh Bắc Giang","xã Hoàng Ninh, huyện Việt Yên, tỉnh Bắc Giang","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"5","Bắc Kạn","Thanh Bình (giai đoạn 1)","Công ty Phát triển hạ tầng KCN Bắc Kạn","xã Thanh Bình, huyện Chợ Mới, tỉnh Bắc Kạn","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"6","Hà Giang","Bình Vàng","Công ty PTHT KCN Hà Giang","xã Đạo Đức, huyện Vị Xuyên, tỉnh Hà Giang","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"7","Hoà Bình","Nam Lương Sơn","Công ty CP BĐS An Thịnh Hoà Bình","xã Trung Sơn, huyện Lương Sơn, tỉnh Hòa Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"8","Hoà Bình","Mông Hóa","Trung tâm Phát triển hạ tầng và dịch vụ khu công nghiệp - Ban Quản lý các khu công nghiệp tỉnh Hoà Bình","xã Mông Hóa, huyện Kỳ Sơn,tỉnh Hòa Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"9","Hoà Bình","Lương Sơn","Công ty cổ phần bất động sản An Thịnh Hoà Bình","xã Hoà Sơn, huyện Lương Sơn, tỉnh Hòa Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"10","Hoà Bình","Bờ trái Sông Đà","Công ty CP Sông Đà-Thăng Long tại Hoà Bình","phường Hữu Nghị, thành phố Hoà Bình, tỉnh Hoà Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
