"code","iso","name_vi","name_en","type","year","area_km2","population","population_thousands","population_density","grdp_per_capita_million_vnd","grdp_preliminary"
"01","VN-HN","Hà Nội","Ha Noi","municipality",2024,3359.8,8717600,8717.6,2594.67825465802,162.9,TRUE
"02","VN-03","Hà Giang","Ha Giang","province",2024,7927.6,911400,911.4,114.965437206721,37.8,TRUE
"04","VN-04","Cao Bằng","Cao Bang","province",2024,6700.4,558500,558.5,83.3532326428273,44.2,TRUE
"06","VN-53","Bắc Kạn","Bac Kan","province",2024,4853.3,329300,329.3,67.8507407331094,57,TRUE
"08","VN-07","Tuyên Quang","Tuyen Quang","province",2024,5868,820300,820.3,139.792092706203,60,TRUE
"10","VN-02","Lào Cai","Lao Cai","province",2024,6364.3,792200,792.2,124.475590402715,93,TRUE
"11","VN-71","Điện Biên","Dien Bien","province",2024,9539.9,656700,656.7,68.837199551358,47.7,TRUE
"12","VN-01","Lai Châu","Lai Chau","province",2024,9068.7,495500,495.5,54.6384818110644,60.4,TRUE
"14","VN-05","Sơn La","Son La","province",2024,14108.9,1330600,1330.6,94.3092657825911,57.4,TRUE
"15","VN-06","Yên Bái","Yen Bai","province",2024,6892.7,864400,864.4,125.408040390558,55.3,TRUE
"17","VN-14","Hòa Bình","Hoa Binh","province",2024,4590.8,894500,894.5,194.846214167465,79.4,TRUE
"19","VN-69","Thái Nguyên","Thai Nguyen","province",2024,3522,1365200,1365.2,387.620670073822,114.5,TRUE
"20","VN-09","Lạng Sơn","Lang Son","province",2024,8310.2,814000,814,97.9519145146928,62.4,TRUE
"22","VN-13","Quảng Ninh","Quang Ninh","province",2024,6208,1396500,1396.5,224.951675257732,234.1,TRUE
"24","VN-54","Bắc Giang","Bac Giang","province",2024,3895.9,1962600,1962.6,503.760363459021,109.2,TRUE
"25","VN-68","Phú Thọ","Phu Tho","province",2024,3534.6,1543900,1543.9,436.796242856335,73.1,TRUE
"26","VN-70","Vĩnh Phúc","Vinh Phuc","province",2024,1236,1225300,1225.3,991.343042071197,141.1,TRUE
"27","VN-56","Bắc Ninh","Bac Ninh","province",2024,822.7,1546600,1546.6,1879.90762124711,159.1,TRUE
"30","VN-61","Hải Dương","Hai Duong","province",2024,1668.3,1978200,1978.2,1185.75795720194,106.2,TRUE
"31","VN-HP","Hải Phòng","Hai Phong","municipality",2024,1526.4,2124500,2124.5,1391.83700209644,206.2,TRUE
"33","VN-66","Hưng Yên","Hung Yen","province",2024,930.2,1318100,1318.1,1417.00709524833,117.7,TRUE
