"id","name_vi","name_en","aliases","category","province_code","province_en","former_province_code","status","area_ha","developer","website","geometry_type","location_accuracy","part_count","osm_ids","source","source_url","verified_on","attribute_source","geometry_observed_on","longitude","latitude"
"osm_relation_19849694","Khu Công nghệ cao Hòa Lạc","Hoa Lac Hi-Tech Park","Hoa Lac Hi-Tech Park","hi_tech_park","01","Ha Noi","01","unknown",1075.36934472079,,,"polygon","site",1,"osm_relation_19849694","OpenStreetMap","https://www.openstreetmap.org/relation/19849694",2026-08-31,"osm",2026-08-31,105.544040450265,21.0112160460203
"osm_way_1389555876","Cụm công nghiệp Bích Hoà",,,"industrial_cluster","01","Ha Noi","01","unknown",9.74424087936352,,,"polygon","site",1,"osm_way_1389555876","OpenStreetMap","https://www.openstreetmap.org/way/1389555876",2026-08-31,"osm",2026-08-31,105.75921642678,20.908066646142
"osm_way_842611501","Cụm công nghiệp Biên Giang",,,"industrial_cluster","01","Ha Noi","01","unknown",14.5685858345344,,,"polygon","site",1,"osm_way_842611501","OpenStreetMap","https://www.openstreetmap.org/way/842611501",2026-08-31,"osm",2026-08-31,105.715469185269,20.9342820461136
"osm_relation_16130748","Cụm công nghiệp Bình Phú I",,,"industrial_cluster","01","Ha Noi","01","unknown",16.4670550524821,,,"polygon","site",1,"osm_relation_16130748","OpenStreetMap","https://www.openstreetmap.org/relation/16130748",2026-08-31,"osm",2026-08-31,105.604010645872,21.0260495960391
"osm_way_1345355014","Cụm công nghiệp Cầu Nổi",,,"industrial_cluster","01","Ha Noi","01","unknown",12.7265691708733,,,"polygon","site",1,"osm_way_1345355014","OpenStreetMap","https://www.openstreetmap.org/way/1345355014",2026-08-31,"osm",2026-08-31,105.731692896671,21.0148481960996
"osm_way_1389555875","Cụm công nghiệp Chàng Sơn",,,"industrial_cluster","01","Ha Noi","01","unknown",16.4959503294273,,,"polygon","site",1,"osm_way_1389555875","OpenStreetMap","https://www.openstreetmap.org/way/1389555875",2026-08-31,"osm",2026-08-31,105.590447482366,21.0370099960305
"osm_way_1389555880","Cụm công nghiệp Đắc Sở",,,"industrial_cluster","01","Ha Noi","01","unknown",5.38503514198801,,,"polygon","site",1,"osm_way_1389555880","OpenStreetMap","https://www.openstreetmap.org/way/1389555880",2026-08-31,"osm",2026-08-31,105.694841629557,21.031573646079
"osm_way_1345355008","Cụm công nghiệp Di Trạch",,,"industrial_cluster","01","Ha Noi","01","unknown",10.6376196259787,,,"polygon","site",1,"osm_way_1345355008","OpenStreetMap","https://www.openstreetmap.org/way/1345355008",2026-08-31,"osm",2026-08-31,105.718264998332,21.0423250960852
"osm_way_1389555878","Cụm công nghiệp Đông Sơn",,,"industrial_cluster","01","Ha Noi","01","unknown",4.57959099943023,,,"polygon","site",1,"osm_way_1389555878","OpenStreetMap","https://www.openstreetmap.org/way/1389555878",2026-08-31,"osm",2026-08-31,105.606406628613,20.9112393960719
"osm_relation_18876246","Cụm công nghiệp Dương Liễu",,,"industrial_cluster","01","Ha Noi","01","unknown",11.5829394096949,,,"polygon","site",1,"osm_relation_18876246","OpenStreetMap","https://www.openstreetmap.org/relation/18876246",2026-08-31,"osm",2026-08-31,105.678428399972,21.0635176960619
"osm_way_1298270127","Cụm công nghiệp Duyên Thái",,,"industrial_cluster","01","Ha Noi","01","unknown",19.7673005783639,,,"polygon","site",1,"osm_way_1298270127","OpenStreetMap","https://www.openstreetmap.org/way/1298270127",2026-08-31,"osm",2026-08-31,105.856572736178,20.901375146188
