"source","province_code","province_en","source_records","linked_records","unresolved_records"
"Invest Vietnam","01","Ha Noi",9,5,4
"Invest Vietnam","04","Cao Bang",3,1,2
"Invest Vietnam","08","Tuyen Quang",3,1,2
"Invest Vietnam","11","Dien Bien",0,0,0
"Invest Vietnam","12","Lai Chau",0,0,0
"Invest Vietnam","14","Son La",1,0,1
"Invest Vietnam","15","Lao Cai",7,0,7
"Invest Vietnam","19","Thai Nguyen",5,3,2
"Invest Vietnam","20","Lang Son",2,0,2
"Invest Vietnam","22","Quang Ninh",6,3,3
"Invest Vietnam","24","Bac Ninh",17,6,11
"Invest Vietnam","25","Phu Tho",33,16,17
"Invest Vietnam","31","Hai Phong",9,5,4
"Invest Vietnam","33","Hung Yen",16,12,4
"Invest Vietnam","37","Ninh Binh",5,4,1
"Invest Vietnam","38","Thanh Hoa",6,2,4
"Invest Vietnam","40","Nghe An",9,3,6
"Invest Vietnam","42","Ha Tinh",5,0,5
"Invest Vietnam","44","Quang Tri",9,4,5
"Invest Vietnam","46","Hue",2,1,1
"Invest Vietnam","48","Da Nang",16,7,9
"Invest Vietnam","51","Quang Ngai",5,0,5
"Invest Vietnam","52","Gia Lai",13,3,10
"Invest Vietnam","56","Khanh Hoa",7,4,3
"Invest Vietnam","66","Dak Lak",5,0,5
"Invest Vietnam","68","Lam Dong",10,4,6
"Invest Vietnam","75","Dong Nai",16,7,9
"Invest Vietnam","79","Ho Chi Minh City",23,9,14
"Invest Vietnam","80","Tay Ninh",14,8,6
"Invest Vietnam","82","Dong Thap",8,5,3
"Invest Vietnam","86","Vinh Long",10,4,6
"Invest Vietnam","91","An Giang",6,3,3
"Invest Vietnam","92","Can Tho",7,3,4
"Invest Vietnam","96","Ca Mau",10,1,9
"Invest Vietnam","unknown","Unknown",94,0,94
"KCN-KKT discovery (unverified)","01","Ha Noi",26,5,21
"KCN-KKT discovery (unverified)","04","Cao Bang",4,1,3
"KCN-KKT discovery (unverified)","08","Tuyen Quang",10,1,9
"KCN-KKT discovery (unverified)","11","Dien Bien",1,0,1
"KCN-KKT discovery (unverified)","12","Lai Chau",1,0,1
"KCN-KKT discovery (unverified)","14","Son La",4,0,4
"KCN-KKT discovery (unverified)","15","Lao Cai",15,0,15
"KCN-KKT discovery (unverified)","19","Thai Nguyen",20,4,16
"KCN-KKT discovery (unverified)","20","Lang Son",15,0,15
"KCN-KKT discovery (unverified)","22","Quang Ninh",26,4,22
"KCN-KKT discovery (unverified)","24","Bac Ninh",84,15,69
"KCN-KKT discovery (unverified)","25","Phu Tho",56,11,45
"KCN-KKT discovery (unverified)","31","Hai Phong",77,13,64
"KCN-KKT discovery (unverified)","33","Hung Yen",79,14,65
"KCN-KKT discovery (unverified)","37","Ninh Binh",90,16,74
"KCN-KKT discovery (unverified)","38","Thanh Hoa",29,1,28
"KCN-KKT discovery (unverified)","40","Nghe An",27,2,25
"KCN-KKT discovery (unverified)","42","Ha Tinh",13,0,13
"KCN-KKT discovery (unverified)","44","Quang Tri",25,5,20
"KCN-KKT discovery (unverified)","46","Hue",19,4,15
"KCN-KKT discovery (unverified)","48","Da Nang",40,6,34
"KCN-KKT discovery (unverified)","51","Quang Ngai",14,0,14
"KCN-KKT discovery (unverified)","52","Gia Lai",25,2,23
"KCN-KKT discovery (unverified)","56","Khanh Hoa",20,3,17
"KCN-KKT discovery (unverified)","66","Dak Lak",20,2,18
"KCN-KKT discovery (unverified)","68","Lam Dong",49,5,44
"KCN-KKT discovery (unverified)","75","Dong Nai",101,26,75
"KCN-KKT discovery (unverified)","79","Ho Chi Minh City",0,0,0
"KCN-KKT discovery (unverified)","80","Tay Ninh",132,19,113
"KCN-KKT discovery (unverified)","82","Dong Thap",33,5,28
"KCN-KKT discovery (unverified)","86","Vinh Long",24,2,22
"KCN-KKT discovery (unverified)","91","An Giang",10,2,8
"KCN-KKT discovery (unverified)","92","Can Tho",44,2,42
"KCN-KKT discovery (unverified)","96","Ca Mau",14,1,13
"KCN-KKT discovery (unverified)","unknown","Unknown",113,0,113
